Disease,Diet_Recommendations
Chronic Kidney Disease,"Tailor protein, sodium, potassium, and phosphorus intake to disease stage (consult a renal dietitian). Generally, limit processed foods, control portion sizes, and maintain hydration per guidance."
Myocardial Infarction (Heart Attack),"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Alzheimer's Disease,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Parkinson's Disease,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Stroke,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Jaundice,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Food Poisoning,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Gastroesophageal Reflux Disease (GERD),"Maintain hydration and electrolyte balance; choose bland, easy-to-digest foods (BRAT: bananas, rice, applesauce, toast) during acute symptoms, then reintroduce balanced foods."
Irritable Bowel Syndrome (IBS),"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Inflammatory Bowel Disease (Ulcerative Colitis/Crohn's),"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Gallstones / Cholelithiasis,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Esophagitis,"Follow a balanced diet rich in anti-inflammatory foods (fruits, vegetables, omega-3 sources) and avoid highly processed foods. Tailor to tolerance and medical guidance."
Migraine,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Epilepsy,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Anxiety Disorder,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Depression,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Urinary Tract Infection (UTI),"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Polycystic Ovary Syndrome (PCOS),"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
"Sexually Transmitted Infection (e.g., Chlamydia/Gonorrhea)","Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Psoriasis,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Urticaria (Hives),"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Oral Thrush (Candidiasis),"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Leukemia,"Meet increased calorie and protein needs during treatment; prioritize small, frequent, nutrient-dense meals. Work with oncology dietitian for side-effect specific strategies (e.g., manage nausea, mucositis)."
Lymphoma,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Severe Viral Hemorrhagic Fever,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Multiple Myeloma / Bone Cancer,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Heat Stroke,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Bronchitis,"Follow a balanced diet rich in anti-inflammatory foods (fruits, vegetables, omega-3 sources) and avoid highly processed foods. Tailor to tolerance and medical guidance."
Chikungunya,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Osteoarthritis,"Follow a balanced diet rich in anti-inflammatory foods (fruits, vegetables, omega-3 sources) and avoid highly processed foods. Tailor to tolerance and medical guidance."
Skin Allergy,Avoid known food allergens/triggers and maintain a balanced diet avoiding processed foods that may contain hidden allergens. Ensure adequate nutrition and substitute safe alternatives.
Peptic Ulcer,"Eat regular, moderate meals; avoid excessive caffeine, alcohol, spicy foods, and NSAIDs. Include easily digestible, balanced foods and follow medical treatment recommendations."
Encephalitis,"Follow a balanced diet rich in anti-inflammatory foods (fruits, vegetables, omega-3 sources) and avoid highly processed foods. Tailor to tolerance and medical guidance."
UTI,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Hepatitis C,Avoid alcohol and hepatotoxic substances; follow a balanced diet rich in whole foods and adequate protein to support liver health.
Appendicitis,"Follow a balanced diet rich in anti-inflammatory foods (fruits, vegetables, omega-3 sources) and avoid highly processed foods. Tailor to tolerance and medical guidance."
Eczema,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Diabetes,"Focus on consistent carbohydrate intake and portion control. Prefer whole grains, high-fiber foods, non-starchy vegetables, lean proteins, and healthy fats. Limit simple sugars and sugary drinks; monitor blood glucose with meals."
Sinusitis,"Follow a balanced diet rich in anti-inflammatory foods (fruits, vegetables, omega-3 sources) and avoid highly processed foods. Tailor to tolerance and medical guidance."
Kidney Infection,"Adjust protein, sodium, potassium, and phosphorus per disease stage (consult a renal dietitian). Emphasize controlled portions, limit processed foods, and monitor fluid intake as advised."
Mumps,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Lung Cancer,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Asthma,"No specific diet cures asthma; maintain a balanced diet and avoid known food triggers (e.g., sulfites for some). Ensure good vitamin D and overall nutrition, especially in children."
