Symptom,Disease
"chest pain, sore throat, nausea",Leukemia
"sweating, joint pain, shortness of breath",Leukemia
"sneezing, shortness of breath, sore throat, fatigue, chest pain",Rheumatoid Arthritis
"loss of appetite, muscle ache, shortness of breath, fatigue, chest pain",Pneumonia
"vomiting, cough",Epilepsy
"vomiting, rash, blurred vision, weight loss",Hepatitis B
"fever, loss of appetite, confusion, abdominal pain",Peptic Ulcer
"fever, joint pain, cough, blurred vision, muscle ache",Peptic Ulcer
"joint pain, loss of appetite, shortness of breath, diarrhea",Eczema
"sweating, fatigue, sore throat, joint pain, weakness",Epilepsy
"dizziness, sweating",Hepatitis A
"sore throat, abdominal pain, sneezing, night sweats",Allergic Rhinitis
"muscle ache, chest pain, fatigue",Food Poisoning
"headache, weakness, muscle ache, fatigue",Food Poisoning
"joint pain, vomiting",Chickenpox
"headache, chest pain",Osteoarthritis
"cough, rash, diarrhea, confusion, fever",Psoriasis
"headache, weight loss, shortness of breath, sore throat",Tuberculosis
"sweating, muscle ache, dizziness",Diabetes
"muscle ache, weakness",Osteoarthritis
"sore throat, fever",Kidney Infection
"sneezing, chest pain, night sweats",Hepatitis B
"blurred vision, muscle ache, sore throat",Hepatitis B
"chest pain, muscle ache",Heat Stroke
"muscle ache, weight loss, headache, sore throat, nausea",Food Poisoning
"nausea, blurred vision, rash, loss of appetite, fatigue",Heat Stroke
"nausea, sore throat, headache, sweating, fatigue",Allergic Rhinitis
"nausea, cough",Mumps
"headache, fever",Osteoarthritis
"blurred vision, fever, shortness of breath",Jaundice
"cough, muscle ache",Measles
"shortness of breath, chest pain",UTI
"nausea, fatigue, dizziness, sneezing",Hepatitis B
"sweating, sore throat, rash, fever, joint pain",Lung Cancer
"headache, abdominal pain, vomiting",Eczema
"blurred vision, night sweats, muscle ache",Heat Stroke
"confusion, blurred vision, diarrhea, sneezing",Allergic Rhinitis
"fatigue, cough",Eczema
"dizziness, fever, sneezing",Sinusitis
"weight loss, night sweats, shortness of breath, diarrhea",Epilepsy
"rash, chest pain, diarrhea",Rheumatoid Arthritis
"joint pain, confusion, shortness of breath, chest pain",COVID-19
"muscle ache, sneezing, weight loss",Rheumatoid Arthritis
"cough, weakness, fever, chest pain, rash",Gastroenteritis
"chest pain, confusion, headache, sweating",Heat Stroke
"nausea, fever, abdominal pain",Sinusitis
"sweating, weight loss, fatigue, sore throat",Meningitis
"cough, diarrhea, nausea, vomiting",Allergic Rhinitis
"muscle ache, shortness of breath, rash, blurred vision",Peptic Ulcer
"shortness of breath, muscle ache, chest pain, loss of appetite, fatigue",Leukemia
"sweating, weight loss, fever, chest pain",Appendicitis
"headache, shortness of breath, diarrhea, night sweats, vomiting",Psoriasis
"loss of appetite, blurred vision, sneezing, night sweats",Appendicitis
"confusion, dizziness, blurred vision, joint pain",Hepatitis B
"nausea, weight loss, shortness of breath, night sweats, confusion",Food Poisoning
"diarrhea, cough, abdominal pain, dizziness",Osteoarthritis
"sneezing, night sweats, dizziness, shortness of breath",Appendicitis
"night sweats, loss of appetite, sneezing, fatigue",Osteoarthritis
"diarrhea, loss of appetite, abdominal pain, shortness of breath",Migraine
"chest pain, sore throat, dizziness",Leukemia
"fatigue, night sweats, sneezing",Appendicitis
"muscle ache, confusion, abdominal pain",Psoriasis
"cough, diarrhea, night sweats",UTI
"shortness of breath, blurred vision, fatigue, chest pain",Appendicitis
"sore throat, blurred vision, loss of appetite",Lung Cancer
"confusion, rash, abdominal pain",Allergic Rhinitis
"rash, fatigue",Mumps
"cough, dizziness, shortness of breath, headache",Anemia
"sweating, nausea",Lung Cancer
"confusion, night sweats, rash, fever",Tuberculosis
"shortness of breath, headache, nausea",Psoriasis
"night sweats, chest pain, headache, joint pain, weight loss",Jaundice
"loss of appetite, night sweats, abdominal pain, sneezing",Diabetes
"sore throat, sneezing, night sweats, headache, blurred vision",Mumps
"fever, sore throat, loss of appetite, muscle ache, blurred vision",Gastroenteritis
"loss of appetite, sore throat",Peptic Ulcer
"weakness, sweating, weight loss, headache, loss of appetite",Mumps
"weight loss, sore throat, diarrhea, fatigue",Hepatitis C
"weakness, rash, chest pain",Hepatitis C
"diarrhea, weight loss",Bronchitis
"sore throat, shortness of breath, muscle ache, chest pain, cough",Asthma
"weakness, diarrhea, sweating, sneezing, dizziness",Appendicitis
"fatigue, confusion, weakness",Leukemia
"dizziness, fatigue",Diabetes
"fever, nausea, dizziness",Mumps
"loss of appetite, sore throat, sweating, vomiting",Asthma
"chest pain, abdominal pain, sneezing, loss of appetite",Psoriasis
"shortness of breath, weight loss, fever, weakness, headache",Osteoarthritis
"vomiting, blurred vision, sneezing",Kidney Infection
"sore throat, abdominal pain",Heat Stroke
"abdominal pain, sneezing, fever",Hepatitis C
"dizziness, chest pain",Hepatitis B
"abdominal pain, sweating, joint pain, fever",Hypertension
"headache, fever, muscle ache, weight loss, abdominal pain",Anemia
"night sweats, muscle ache, blurred vision",Asthma
"muscle ache, sneezing, cough, fatigue",Eczema
"muscle ache, chest pain, dizziness, blurred vision",Food Poisoning
"blurred vision, fever, shortness of breath, chest pain",Lung Cancer
"chest pain, abdominal pain, headache",Anemia
"vomiting, sweating, cough",Hypertension
"headache, sneezing",Diabetes
"night sweats, vomiting",Kidney Infection
"sneezing, night sweats, rash, headache",Chickenpox
"fatigue, fever, chest pain, shortness of breath, sore throat",Heat Stroke
"loss of appetite, rash, chest pain, blurred vision",Leukemia
"chest pain, blurred vision, headache, abdominal pain",Anemia
"dizziness, abdominal pain, fatigue",Pneumonia
"abdominal pain, chest pain, vomiting, night sweats",Jaundice
"headache, sore throat, confusion, abdominal pain, sweating",Hypertension
"headache, sore throat",Mumps
"joint pain, dizziness",Chikungunya
"fever, abdominal pain, weight loss, confusion, rash",Migraine
"nausea, night sweats",Mumps
"rash, abdominal pain, sore throat, sweating, nausea",Asthma
"nausea, night sweats, vomiting, abdominal pain",Leukemia
"fever, weight loss",UTI
"vomiting, cough, chest pain, confusion, dizziness",Epilepsy
"weakness, dizziness",Food Poisoning
"dizziness, diarrhea, vomiting",Psoriasis
"vomiting, joint pain",Hepatitis B
"sore throat, blurred vision, rash, vomiting",Peptic Ulcer
"chest pain, weakness, confusion, diarrhea",COVID-19
"sweating, shortness of breath, abdominal pain, dizziness",Migraine
"night sweats, headache, abdominal pain",Anemia
"shortness of breath, rash, confusion, dizziness, weakness",Eczema
"joint pain, fatigue",Chikungunya
"sore throat, nausea, sneezing, diarrhea",Mumps
"rash, joint pain, sweating, headache, nausea",COVID-19
"loss of appetite, night sweats, weight loss, cough",Food Poisoning
"rash, cough, loss of appetite, nausea, sweating",Sinusitis
"rash, fatigue, vomiting, night sweats, weight loss",Hepatitis B
"sneezing, weakness, cough, sweating, confusion",Measles
"vomiting, weight loss, headache, cough, chest pain",Allergic Rhinitis
"nausea, dizziness",Hepatitis C
"weakness, confusion",Pneumonia
"sore throat, fatigue, abdominal pain",Hepatitis B
"joint pain, diarrhea",Hepatitis C
"headache, shortness of breath",Pneumonia
"confusion, blurred vision, sore throat",Gastroenteritis
"blurred vision, nausea, loss of appetite",Food Poisoning
"nausea, shortness of breath, night sweats, weight loss",Encephalitis
"shortness of breath, confusion, nausea, joint pain",Allergic Rhinitis
"abdominal pain, muscle ache, dizziness, fever, sore throat",Osteoarthritis
"nausea, joint pain, abdominal pain, cough",Heat Stroke
"confusion, weight loss, diarrhea, sneezing, joint pain",Bronchitis
"night sweats, dizziness",Heat Stroke
"vomiting, diarrhea, shortness of breath, confusion",Kidney Infection
"confusion, night sweats, joint pain, cough, rash",COVID-19
"rash, night sweats, sweating, headache",Gastroenteritis
"abdominal pain, sweating, night sweats, sore throat, shortness of breath",Bronchitis
"sneezing, fatigue",Osteoarthritis
"weakness, fatigue, loss of appetite",Gastroenteritis
"abdominal pain, chest pain, muscle ache, headache, vomiting",Diabetes
"dizziness, vomiting, joint pain, weakness, abdominal pain",Osteoarthritis
"fatigue, sweating, dizziness, chest pain",Hepatitis B
"dizziness, weight loss, muscle ache, fever, abdominal pain",Asthma
"shortness of breath, confusion",Leukemia
"diarrhea, joint pain, confusion",Food Poisoning
"diarrhea, confusion, vomiting, nausea",Hypertension
"joint pain, fever, muscle ache, sweating",Rheumatoid Arthritis
"shortness of breath, sneezing, sweating, night sweats",Chikungunya
"fatigue, nausea, abdominal pain",Sinusitis
"fever, confusion",Gastroenteritis
"vomiting, weakness, blurred vision, headache, night sweats",Chikungunya
"fever, headache, loss of appetite",Measles
"confusion, fatigue, cough, night sweats",Sinusitis
"sore throat, sneezing",Hepatitis B
"blurred vision, diarrhea, dizziness, shortness of breath, loss of appetite",Gastroenteritis
"sore throat, muscle ache, vomiting",Eczema
"joint pain, weakness, night sweats, confusion, loss of appetite",Psoriasis
"muscle ache, rash, abdominal pain",Epilepsy
"headache, rash, cough, fever",Encephalitis
"sweating, dizziness, sore throat, nausea, headache",Epilepsy
"loss of appetite, fever, dizziness, cough",Hepatitis B
"muscle ache, weight loss",Migraine
"headache, weakness, weight loss, cough, chest pain",Skin Allergy
"sweating, confusion, weakness, sneezing",Bronchitis
"fatigue, rash, sneezing, muscle ache, confusion",Chickenpox

"weight loss, confusion, nausea, headache, blurred vision",Rheumatoid Arthritis
"dizziness, confusion",Rheumatoid Arthritis
"muscle ache, blurred vision, cough, sore throat",Pneumonia
"diarrhea, rash",Jaundice
"sweating, chest pain, diarrhea, muscle ache, dizziness",Chikungunya
"sore throat, joint pain",Diabetes
"sore throat, diarrhea, weight loss",Allergic Rhinitis
"fatigue, sneezing, sore throat, weakness, fever",Measles
"vomiting, sore throat, loss of appetite, chest pain, sweating",Hypertension
"chest pain, weakness, fever, blurred vision",Meningitis
"shortness of breath, sweating, cough, dizziness, weakness",Epilepsy
"dizziness, blurred vision, sweating, chest pain, night sweats",Sinusitis
"muscle ache, sneezing",Hepatitis B
"joint pain, rash, headache",Allergic Rhinitis
"fatigue, dizziness, cough, loss of appetite, chest pain",Allergic Rhinitis
"fatigue, weight loss",Anemia
"sweating, blurred vision, headache, cough, sore throat",Anemia
"headache, cough, weight loss",Gastroenteritis
"loss of appetite, cough, confusion, sore throat, dizziness",Peptic Ulcer
"blurred vision, headache",Lung Cancer
"chest pain, night sweats",Tuberculosis
"diarrhea, nausea",Migraine
"blurred vision, muscle ache, diarrhea, sneezing, weight loss",Measles
"abdominal pain, confusion, headache",Gastroenteritis
"fatigue, night sweats, cough, weakness, blurred vision",UTI
"fever, sore throat, joint pain, vomiting, fatigue",Leukemia
"fever, sneezing",Anemia
"sneezing, muscle ache, nausea",Eczema
"shortness of breath, chest pain, blurred vision, nausea, headache",Psoriasis
"joint pain, blurred vision, weight loss, sneezing, dizziness",Bronchitis
"headache, loss of appetite, dizziness, rash, fatigue",Mumps
"night sweats, dizziness, fatigue, abdominal pain, chest pain",Meningitis
"nausea, abdominal pain, fever, fatigue",Hepatitis C
"sneezing, loss of appetite, confusion, joint pain",Lung Cancer
"weakness, nausea, chest pain",Leukemia
"confusion, loss of appetite, abdominal pain, blurred vision, night sweats",Leukemia
"cough, confusion",Leukemia
"abdominal pain, joint pain, loss of appetite, chest pain, vomiting",Anemia
"fatigue, vomiting, shortness of breath, sweating",COVID-19
"sneezing, blurred vision, cough",Rheumatoid Arthritis
"fatigue, sore throat, confusion",COVID-19
"weight loss, fever, headache",Sinusitis
"dizziness, chest pain, nausea, loss of appetite",Asthma
"chest pain, confusion, cough, sweating, fatigue",COVID-19
"sneezing, confusion",Chickenpox
"blurred vision, cough",Psoriasis
"dizziness, sweating, chest pain, night sweats, sneezing",Peptic Ulcer
"muscle ache, vomiting, abdominal pain",Hepatitis A
"cough, diarrhea, headache, dizziness, abdominal pain",Gastroenteritis
"weight loss, muscle ache, chest pain, rash, diarrhea",Kidney Infection
"blurred vision, chest pain, rash, sweating",Hepatitis B
"diarrhea, blurred vision, weakness, loss of appetite, shortness of breath",Chickenpox
"nausea, joint pain",Tuberculosis
"confusion, rash, fatigue, blurred vision",Pneumonia
"fever, joint pain, diarrhea",Rheumatoid Arthritis
"vomiting, joint pain, muscle ache, shortness of breath, rash",Sinusitis
"weight loss, shortness of breath",Hepatitis B
"headache, nausea, sore throat, blurred vision",Allergic Rhinitis
"sweating, joint pain, nausea, weakness",Anemia
"vomiting, shortness of breath, abdominal pain",Sinusitis
"vomiting, weight loss, chest pain, headache",Encephalitis
"headache, loss of appetite, blurred vision",UTI
"sweating, joint pain, muscle ache, cough, nausea",Sinusitis
"sneezing, abdominal pain, confusion, sore throat",Allergic Rhinitis
"muscle ache, dizziness",Rheumatoid Arthritis
"vomiting, joint pain, sore throat",Sinusitis
"fever, weight loss, joint pain, chest pain, rash",Food Poisoning

"muscle ache, shortness of breath",Mumps
"night sweats, rash, dizziness, sore throat",Rheumatoid Arthritis

"shortness of breath, blurred vision, weakness, diarrhea, confusion",Hepatitis A

"confusion, sneezing",Lung Cancer
"weight loss, blurred vision, shortness of breath",Mumps
"chest pain, cough",Hepatitis C
"sweating, dizziness, diarrhea, weakness",UTI
"dizziness, night sweats, nausea, rash, sore throat",Anemia
"abdominal pain, confusion, vomiting, cough",Heat Stroke
"headache, night sweats, shortness of breath, sore throat",Diabetes
"rash, sore throat, blurred vision",Migraine
"sweating, diarrhea, chest pain, confusion",Anemia
"night sweats, abdominal pain, muscle ache, sore throat",Kidney Infection
"vomiting, fever, nausea, sweating, sneezing",Bronchitis
"nausea, diarrhea, chest pain, abdominal pain",Sinusitis
"cough, sore throat",Migraine
"headache, abdominal pain",Diabetes
"weight loss, fatigue, fever, weakness, sweating",COVID-19
"headache, diarrhea, fatigue, confusion, shortness of breath",Leukemia
"joint pain, dizziness, chest pain, cough",Eczema
"weight loss, sneezing, fatigue",Allergic Rhinitis
"cough, sneezing, loss of appetite, rash",Hepatitis C
"dizziness, sneezing",Jaundice
"shortness of breath, fever, chest pain, sneezing, nausea",Hepatitis A
"loss of appetite, vomiting, blurred vision, cough",Peptic Ulcer
"nausea, weight loss, weakness",Kidney Infection
"sore throat, rash",Gastroenteritis
"sweating, sneezing",Hepatitis B
"night sweats, blurred vision, fatigue",Eczema
"rash, nausea",Chikungunya
"headache, abdominal pain, chest pain, sore throat, vomiting",Mumps
"cough, nausea, weight loss, rash, diarrhea",Measles
"shortness of breath, cough, sneezing",Anemia
"blurred vision, weakness",Psoriasis
"loss of appetite, sweating, cough",Asthma
"shortness of breath, dizziness, night sweats, blurred vision",Peptic Ulcer
"rash, night sweats, vomiting, shortness of breath",UTI
"cough, nausea, night sweats, fatigue",Hepatitis C
"dizziness, cough, headache, rash, confusion",Gastroenteritis
"night sweats, cough",Heat Stroke
"confusion, weight loss, chest pain, sneezing, diarrhea",Lung Cancer
"confusion, dizziness",Bronchitis
"diarrhea, night sweats, confusion, dizziness",Pneumonia
"cough, vomiting, sweating, joint pain, loss of appetite",Lung Cancer
"weight loss, chest pain, sneezing, dizziness",Hepatitis C
"muscle ache, weakness, fatigue, confusion, fever",Psoriasis
"dizziness, cough, headache, rash",Measles
"sweating, sneezing, headache, nausea, weight loss",Encephalitis
"weight loss, confusion, sore throat",UTI
"rash, sweating, weight loss",Encephalitis
"rash, muscle ache, dizziness, fever",Chickenpox
"muscle ache, fatigue, rash, weight loss, chest pain",Hepatitis B
"nausea, dizziness, diarrhea, sweating, abdominal pain",Eczema
"confusion, joint pain, cough, headache",Sinusitis
"weight loss, vomiting, diarrhea",Lung Cancer
"abdominal pain, sore throat, muscle ache, night sweats, sweating",Gastroenteritis
"fatigue, sweating, weight loss",Meningitis
"joint pain, cough",Meningitis
"shortness of breath, chest pain, weakness, headache",Epilepsy
"shortness of breath, chest pain, loss of appetite",Encephalitis
"chest pain, shortness of breath",Eczema
"muscle ache, weakness, joint pain, cough, shortness of breath",Migraine
"sore throat, confusion, joint pain",Encephalitis
"cough, nausea",Heat Stroke
"chest pain, diarrhea, loss of appetite, blurred vision",Epilepsy
"weakness, diarrhea, cough, muscle ache, confusion",Hepatitis A
"headache, rash, abdominal pain",COVID-19
"weight loss, chest pain",Encephalitis
"sweating, cough, abdominal pain, muscle ache",Bronchitis
"loss of appetite, sweating, sneezing, night sweats, abdominal pain",Hepatitis A
"night sweats, abdominal pain, fever, joint pain, fatigue",Anemia
"headache, sweating, muscle ache, weakness, vomiting",Kidney Infection
"confusion, joint pain, sore throat, headache",Hepatitis B
"dizziness, cough, confusion, vomiting, blurred vision",Hepatitis B
"dizziness, weight loss, diarrhea, joint pain",Encephalitis
"sore throat, cough, confusion",Hypertension
"abdominal pain, cough",Peptic Ulcer
"diarrhea, blurred vision, night sweats, fever",Hepatitis A
"joint pain, nausea, sore throat, loss of appetite, muscle ache",Epilepsy
"cough, chest pain",Mumps
"sore throat, sneezing, fever, dizziness, cough",Asthma
"weight loss, fever, weakness, shortness of breath, diarrhea",UTI
"fever, cough",Heat Stroke
"muscle ache, headache, diarrhea, sneezing, blurred vision",Sinusitis
"sneezing, muscle ache, abdominal pain, fever, fatigue",Sinusitis
"rash, vomiting, loss of appetite, diarrhea",Kidney Infection
"shortness of breath, fatigue",Skin Allergy
"night sweats, loss of appetite, weight loss, fatigue, dizziness",Leukemia
"abdominal pain, fever",Bronchitis
"muscle ache, rash, blurred vision",Bronchitis
"confusion, sore throat, chest pain, weakness, rash",Peptic Ulcer
"muscle ache, abdominal pain, chest pain, nausea, night sweats",Anemia
"blurred vision, diarrhea, sneezing, weight loss",Hepatitis C
"diarrhea, sweating, joint pain, fatigue, vomiting",Skin Allergy
"fever, loss of appetite",Tuberculosis
"sore throat, nausea, dizziness",Tuberculosis
"blurred vision, diarrhea, fever, sweating, shortness of breath",Diabetes
"weakness, joint pain, rash",Diabetes
"rash, diarrhea, confusion",Psoriasis
"sneezing, fever, diarrhea, dizziness, rash",Appendicitis
"abdominal pain, confusion, weight loss, shortness of breath",Meningitis
"headache, abdominal pain, fever, sneezing, weakness",Psoriasis
"confusion, fever, nausea, vomiting, night sweats",UTI
"night sweats, chest pain, muscle ache, weight loss, fever",Diabetes
"cough, shortness of breath, diarrhea",Meningitis
"rash, fever, sore throat, vomiting, sweating",Diabetes
"vomiting, cough, abdominal pain, chest pain",Allergic Rhinitis
"dizziness, sore throat, rash, muscle ache",Kidney Infection
"sweating, weight loss",Hypertension
"confusion, rash, vomiting, loss of appetite",Eczema
"shortness of breath, confusion, headache, sore throat, chest pain",Leukemia
"weight loss, weakness, loss of appetite, joint pain",Anemia
"rash, diarrhea, night sweats",Mumps
"blurred vision, weight loss, vomiting, sneezing",Hypertension
"weight loss, sore throat, vomiting, confusion, loss of appetite",Hepatitis C
"fever, joint pain, blurred vision",Hypertension
"diarrhea, nausea, weight loss, loss of appetite",Hepatitis C
"dizziness, sneezing, joint pain",Hepatitis A
"weight loss, weakness, vomiting",Food Poisoning
"sore throat, diarrhea, rash, cough",Measles
"chest pain, weakness, blurred vision",Epilepsy
"cough, joint pain",Rheumatoid Arthritis
"joint pain, nausea, blurred vision, headache",UTI
"weakness, joint pain",Lung Cancer
"blurred vision, dizziness, chest pain, weakness",Kidney Infection
"blurred vision, weakness, confusion, fever",Chikungunya
