Disease,Precautions
Diabetes Mellitus,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Hypertension,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Angina,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Cardiac Arrhythmia,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Rheumatoid Arthritis,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Osteoporosis,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Anemia,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Chronic Obstructive Pulmonary Disease (COPD),"Avoid smoking, reduce exposures to pollutants, and follow inhaler/medication plan."
Spondylitis,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Hypothyroidism,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Hyperthyroidism,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Chronic Kidney Disease,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Myocardial Infarction (Heart Attack),"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Alzheimer's Disease,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Parkinson's Disease,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Stroke,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Jaundice,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Food Poisoning,"Maintain hydration, practice food safety and hand hygiene; seek care for severe dehydration."
Gastroesophageal Reflux Disease (GERD),"Maintain hydration, practice food safety and hand hygiene; seek care for severe dehydration."
Irritable Bowel Syndrome (IBS),"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Inflammatory Bowel Disease (Ulcerative Colitis/Crohn's),"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Gallstones / Cholelithiasis,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Esophagitis,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Migraine,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Epilepsy,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Anxiety Disorder,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Depression,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Urinary Tract Infection (UTI),"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Polycystic Ovary Syndrome (PCOS),"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
"Sexually Transmitted Infection (e.g., Chlamydia/Gonorrhea)","Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Psoriasis,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Urticaria (Hives),"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Oral Thrush (Candidiasis),"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Leukemia,"Follow specialist advice, avoid known carcinogens (tobacco), and attend regular follow-ups."
Lymphoma,"Follow specialist advice, avoid known carcinogens (tobacco), and attend regular follow-ups."
Severe Viral Hemorrhagic Fever,"Practice hand hygiene, respiratory etiquette, and isolate if contagious; follow vaccination guidance where available."
Multiple Myeloma / Bone Cancer,"Follow specialist advice, avoid known carcinogens (tobacco), and attend regular follow-ups."
Heat Stroke,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Bronchitis,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Chikungunya,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Osteoarthritis,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Skin Allergy,Avoid known allergens/triggers and carry prescribed rescue medication if advised.
Peptic Ulcer,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Encephalitis,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
UTI,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Hepatitis C,Avoid sharing needles and unsafe blood exposures; seek testing if at risk.
Appendicitis,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Eczema,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Diabetes,"Maintain healthy diet and exercise, monitor blood sugar, adhere to prescribed treatments."
Sinusitis,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Kidney Infection,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Mumps,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Lung Cancer,"Follow specialist advice, avoid known carcinogens (tobacco), and attend regular follow-ups."
Asthma,"Avoid triggers, use prescribed inhalers, have an asthma action plan and regular follow-up."
