Disease,Common_Medicines
Hypertension,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Angina,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Cardiac Arrhythmia,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Rheumatoid Arthritis,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Osteoporosis,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Anemia,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Chronic Obstructive Pulmonary Disease (COPD),"Bronchodilators, inhaled corticosteroids, and antibiotics if bacterial infection suspected; supportive care."
Spondylitis,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Hypothyroidism,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Hyperthyroidism,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Chronic Kidney Disease,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Myocardial Infarction (Heart Attack),Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Alzheimer's Disease,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Parkinson's Disease,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Stroke,"Emergency stroke care (thrombolysis if eligible) and secondary prevention medications (antiplatelets, BP control)."
Jaundice,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Food Poisoning,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Gastroesophageal Reflux Disease (GERD),Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Irritable Bowel Syndrome (IBS),Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Inflammatory Bowel Disease (Ulcerative Colitis/Crohn's),Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Gallstones / Cholelithiasis,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Esophagitis,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Migraine,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Epilepsy,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Anxiety Disorder,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Depression,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Urinary Tract Infection (UTI),Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Polycystic Ovary Syndrome (PCOS),Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
"Sexually Transmitted Infection (e.g., Chlamydia/Gonorrhea)",Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Psoriasis,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Urticaria (Hives),Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Oral Thrush (Candidiasis),Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Leukemia,"Oncology-directed treatments (surgery, chemo, radiotherapy) per specialist recommendations."
Lymphoma,"Oncology-directed treatments (surgery, chemo, radiotherapy) per specialist recommendations."
Severe Viral Hemorrhagic Fever,Supportive care; antivirals may be used when indicated (follow clinical guidelines).
Multiple Myeloma / Bone Cancer,"Oncology-directed treatments (surgery, chemo, radiotherapy) per specialist recommendations."
Heat Stroke,"Emergency stroke care (thrombolysis if eligible) and secondary prevention medications (antiplatelets, BP control)."
Bronchitis,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Chikungunya,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Osteoarthritis,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Skin Allergy,Avoidance of trigger; antihistamines and/or corticosteroids as needed.
Peptic Ulcer,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Encephalitis,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
UTI,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Hepatitis C,Direct-acting antivirals (DAAs) directed by genotype and guidelines.
Appendicitis,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Eczema,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Diabetes,Glycemic control with metformin and/or insulin depending on type and severity.
Sinusitis,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Kidney Infection,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Mumps,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Lung Cancer,"Oncology-directed treatments (surgery, chemo, radiotherapy) per specialist recommendations."
Asthma,"Inhaled short-acting bronchodilators (e.g., salbutamol) and inhaled corticosteroids for control."
